# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	27	3023	+							DSC91_RS00005	2997		old_locus_tag=DSC91_000001
CDS	with_protein	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	27	3023	+	WP_115776245.1	WP_115776245.1		Tn3 family transposase			DSC91_RS00005	2997	998	
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	3020	3385	+							DSC91_RS00010	366		old_locus_tag=DSC91_000002
CDS	with_protein	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	3020	3385	+	WP_115776247.1	WP_115776247.1		transposase			DSC91_RS00010	366	121	
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	3684	4208	-							DSC91_RS00015	525		old_locus_tag=DSC91_000003
CDS	with_protein	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	3684	4208	-	WP_115779614.1	WP_115779614.1		hypothetical protein			DSC91_RS00015	525	174	
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	4367	4630	-							DSC91_RS00020	264		
CDS	with_protein	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	4367	4630	-	WP_115779615.1	WP_115779615.1		hypothetical protein			DSC91_RS00020	264	87	
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	4754	6688	-					dnaK		DSC91_RS00025	1935		
CDS	with_protein	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	4754	6688	-	WP_115776248.1	WP_115776248.1		molecular chaperone DnaK	dnaK		DSC91_RS00025	1935	644	
gene	protein_coding	GCF_003368325.1	Primary Assembly	chromosome	1	NZ_CP031466.1	6770	8392	-					groL		DSC91_RS00030	1623		old_locus_tag=DSC91_000006
