# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	363	1961	+					dnaA		BC1002_RS00005	1599		old_locus_tag=BC1002_0001
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	363	1961	+	WP_013088023.1	WP_013088023.1		chromosomal replication initiator protein DnaA	dnaA		BC1002_RS00005	1599	532	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	2447	3550	+					dnaN		BC1002_RS00015	1104		old_locus_tag=BC1002_0002
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	2447	3550	+	WP_013088024.1	WP_013088024.1		DNA polymerase III subunit beta	dnaN		BC1002_RS00015	1104	367	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	3665	6136	+					gyrB		BC1002_RS00020	2472		old_locus_tag=BC1002_0003
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	3665	6136	+	WP_013088025.1	WP_013088025.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BC1002_RS00020	2472	823	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	7194	8588	+							BC1002_RS00030	1395		old_locus_tag=BC1002_0005
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	7194	8588	+	WP_013088026.1	WP_013088026.1		ethanolamine ammonia-lyase subunit EutB			BC1002_RS00030	1395	464	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	8585	9376	+					eutC		BC1002_RS00035	792		old_locus_tag=BC1002_0006
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	8585	9376	+	WP_013088027.1	WP_013088027.1		ethanolamine ammonia-lyase subunit EutC	eutC		BC1002_RS00035	792	263	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	9408	11852	-							BC1002_RS00040	2445		old_locus_tag=BC1002_0007
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	9408	11852	-	WP_013088028.1	WP_013088028.1		heavy metal translocating P-type ATPase			BC1002_RS00040	2445	814	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	11934	12365	+					cadR		BC1002_RS00045	432		old_locus_tag=BC1002_0008
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	11934	12365	+	WP_013088029.1	WP_013088029.1		Cd(II)/Pb(II)-responsive transcriptional regulator	cadR		BC1002_RS00045	432	143	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	12491	12691	+							BC1002_RS00050	201		old_locus_tag=BC1002_0009
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	12491	12691	+	WP_013088030.1	WP_013088030.1		hypothetical protein			BC1002_RS00050	201	66	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	12715	14118	+					dbpA		BC1002_RS00055	1404		old_locus_tag=BC1002_0010
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	12715	14118	+	WP_013088031.1	WP_013088031.1		ATP-dependent RNA helicase DbpA	dbpA		BC1002_RS00055	1404	467	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	14464	15618	+							BC1002_RS00060	1155		old_locus_tag=BC1002_0011
