# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	1	1581	+					dnaA		FAZ98_RS00005	1581		old_locus_tag=FAZ98_00005
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	1	1581	+	WP_158947571.1	WP_158947571.1		chromosomal replication initiator protein DnaA	dnaA		FAZ98_RS00005	1581	526	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	1915	3018	+					dnaN		FAZ98_RS00010	1104		old_locus_tag=FAZ98_00010
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	1915	3018	+	WP_158947573.1	WP_158947573.1		DNA polymerase III subunit beta	dnaN		FAZ98_RS00010	1104	367	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	3134	5605	+					gyrB		FAZ98_RS00015	2472		old_locus_tag=FAZ98_00015
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	3134	5605	+	WP_158947575.1	WP_158947575.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FAZ98_RS00015	2472	823	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	5689	6912	-							FAZ98_RS00020	1224		old_locus_tag=FAZ98_00020
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	5689	6912	-	WP_158947577.1	WP_158947577.1		RtcB family protein			FAZ98_RS00020	1224	407	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	7035	8177	-							FAZ98_RS00025	1143		old_locus_tag=FAZ98_00025
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	7035	8177	-	WP_158947579.1	WP_158947579.1		slipin family protein			FAZ98_RS00025	1143	380	
gene	tRNA	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	8434	8506	-							FAZ98_RS00030	73		old_locus_tag=FAZ98_00030
tRNA		GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	8434	8506	-				tRNA-Cys			FAZ98_RS00030	73		anticodon=GCA
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	8844	10448	+					rtcR		FAZ98_RS00035	1605		old_locus_tag=FAZ98_00035
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	8844	10448	+	WP_158947581.1	WP_158947581.1		RNA repair transcriptional activator RtcR	rtcR		FAZ98_RS00035	1605	534	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	10791	11270	-							FAZ98_RS00040	480		old_locus_tag=FAZ98_00040
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	10791	11270	-	WP_158947583.1	WP_158947583.1		GyrI-like domain-containing protein			FAZ98_RS00040	480	159	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	11635	11829	+							FAZ98_RS00045	195		old_locus_tag=FAZ98_00045
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	11635	11829	+	WP_158947585.1	WP_158947585.1		hypothetical protein			FAZ98_RS00045	195	64	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	11843	12160	-							FAZ98_RS00050	318		old_locus_tag=FAZ98_00050
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	11843	12160	-	WP_158947587.1	WP_158947587.1		hypothetical protein			FAZ98_RS00050	318	105	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	12398	12652	+							FAZ98_RS00055	255		old_locus_tag=FAZ98_00055
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	12398	12652	+	WP_199272275.1	WP_199272275.1		hypothetical protein			FAZ98_RS00055	255	84	
gene	tRNA	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	12772	12847	-							FAZ98_RS00060	76		old_locus_tag=FAZ98_00060
tRNA		GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	12772	12847	-				tRNA-Lys			FAZ98_RS00060	76		anticodon=CTT
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	13103	13507	+							FAZ98_RS00065	405		old_locus_tag=FAZ98_00065
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	13103	13507	+	WP_158947589.1	WP_158947589.1		PaaI family thioesterase			FAZ98_RS00065	405	134	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	13553	14431	+							FAZ98_RS00070	879		old_locus_tag=FAZ98_00070
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	13553	14431	+	WP_158947591.1	WP_158947591.1		patatin-like phospholipase family protein			FAZ98_RS00070	879	292	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	14571	15584	-							FAZ98_RS00075	1014		old_locus_tag=FAZ98_00075
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	14571	15584	-	WP_158947593.1	WP_158947593.1		D-2-hydroxyacid dehydrogenase family protein			FAZ98_RS00075	1014	337	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	16035	17885	+							FAZ98_RS00080	1851		old_locus_tag=FAZ98_00080
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	16035	17885	+	WP_158947595.1	WP_158947595.1		phosphoenolpyruvate carboxykinase (GTP)			FAZ98_RS00080	1851	616	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	18224	19339	+							FAZ98_RS00085	1116		old_locus_tag=FAZ98_00085
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	18224	19339	+	WP_158947597.1	WP_158947597.1		LysR family transcriptional regulator			FAZ98_RS00085	1116	371	
