# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	4378549	371	-							CJU94_RS00005	711		old_locus_tag=CJU94_00005
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	4378549	371	-	WP_157763785.1	WP_157763785.1		pirin family protein			CJU94_RS00005	711	236	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	851	1627	+							CJU94_RS00010	777		old_locus_tag=CJU94_00010
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	851	1627	+	WP_095417010.1	WP_095417010.1		ABC transporter substrate-binding protein			CJU94_RS00010	777	258	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	1928	2617	+					hisQ		CJU94_RS00015	690		old_locus_tag=CJU94_00015
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	1928	2617	+	WP_095417011.1	WP_095417011.1		histidine ABC transporter permease HisQ	hisQ		CJU94_RS00015	690	229	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	2614	3327	+							CJU94_RS00020	714		old_locus_tag=CJU94_00020
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	2614	3327	+	WP_091796242.1	WP_091796242.1		ABC transporter permease			CJU94_RS00020	714	237	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	3373	4152	+							CJU94_RS00025	780		old_locus_tag=CJU94_00025
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	3373	4152	+	WP_095417012.1	WP_095417012.1		ATP-binding cassette domain-containing protein			CJU94_RS00025	780	259	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	4743	5894	+							CJU94_RS00030	1152		old_locus_tag=CJU94_00030
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	4743	5894	+	WP_095417013.1	WP_095417013.1		porin			CJU94_RS00030	1152	383	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	6155	6493	-					glnK		CJU94_RS00035	339		old_locus_tag=CJU94_00035
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	6155	6493	-	WP_006048444.1	WP_006048444.1		P-II family nitrogen regulator	glnK		CJU94_RS00035	339	112	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	6630	8330	-							CJU94_RS00040	1701		old_locus_tag=CJU94_00040
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	6630	8330	-	WP_095417014.1	WP_095417014.1		NAD+ synthase			CJU94_RS00040	1701	566	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	8464	8766	+							CJU94_RS00045	303		old_locus_tag=CJU94_00045
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	8464	8766	+	WP_095420151.1	WP_095420151.1		peptidogalycan biosysnthesis protein			CJU94_RS00045	303	100	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	8789	10723	+							CJU94_RS40660	1935		
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	8789	10723	+	WP_157763684.1	WP_157763684.1		hypothetical protein			CJU94_RS40660	1935	644	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	10713	13103	+							CJU94_RS00055	2391		old_locus_tag=CJU94_00055
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	10713	13103	+	WP_095417016.1	WP_095417016.1		hypothetical protein			CJU94_RS00055	2391	796	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	13087	13308	+							CJU94_RS40665	222		
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	13087	13308	+	WP_157763685.1	WP_157763685.1		hypothetical protein			CJU94_RS40665	222	73	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	13572	14195	+							CJU94_RS00060	624		old_locus_tag=CJU94_00060
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	13572	14195	+	WP_095417017.1	WP_095417017.1		hypothetical protein			CJU94_RS00060	624	207	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	14192	14590	+							CJU94_RS00065	399		old_locus_tag=CJU94_00065
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	14192	14590	+	WP_095417018.1	WP_095417018.1		hypothetical protein			CJU94_RS00065	399	132	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	14587	16698	+							CJU94_RS00070	2112		old_locus_tag=CJU94_00070
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	14587	16698	+	WP_095417019.1	WP_095417019.1		hypothetical protein			CJU94_RS00070	2112	703	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	16695	18137	+							CJU94_RS00075	1443		old_locus_tag=CJU94_00075
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	16695	18137	+	WP_095417020.1	WP_095417020.1		hypothetical protein			CJU94_RS00075	1443	480	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	18152	19285	-							CJU94_RS00080	1134		old_locus_tag=CJU94_00080
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	18152	19285	-	WP_095417021.1	WP_095417021.1		GNAT family N-acetyltransferase			CJU94_RS00080	1134	377	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	20251	21102	+							CJU94_RS00090	852		old_locus_tag=CJU94_00090
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	20251	21102	+	WP_157763686.1	WP_157763686.1		hypothetical protein			CJU94_RS00090	852	283	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	21327	22898	-							CJU94_RS00095	1572		old_locus_tag=CJU94_00095
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	21327	22898	-	WP_095417024.1	WP_095417024.1		RNA-directed DNA polymerase			CJU94_RS00095	1572	523	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	22991	26584	-							CJU94_RS00100	3594		old_locus_tag=CJU94_00100
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	22991	26584	-	WP_244220886.1	WP_244220886.1		DEAD/DEAH box helicase family protein			CJU94_RS00100	3594	1197	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	26957	28681	-							CJU94_RS00105	1725		old_locus_tag=CJU94_00105
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	26957	28681	-	WP_095417026.1	WP_095417026.1		DUF4236 domain-containing protein			CJU94_RS00105	1725	574	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	28793	35419	-							CJU94_RS00110	6627		old_locus_tag=CJU94_00110
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	28793	35419	-	WP_095417027.1	WP_095417027.1		DUF3320 domain-containing protein			CJU94_RS00110	6627	2208	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	35941	37602	-							CJU94_RS00120	1662		old_locus_tag=CJU94_00120
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	35941	37602	-	WP_157763687.1	WP_157763687.1		hypothetical protein			CJU94_RS00120	1662	553	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	37831	38787	-							CJU94_RS00125	957		old_locus_tag=CJU94_00125
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	37831	38787	-	WP_095417030.1	WP_095417030.1		IS1595 family transposase			CJU94_RS00125	957	318	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	38866	40776	-							CJU94_RS00130	1911		old_locus_tag=CJU94_00130
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	38866	40776	-	WP_095417031.1	WP_095417031.1		SIR2 family protein			CJU94_RS00130	1911	636	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	40956	41354	-							CJU94_RS00135	399		old_locus_tag=CJU94_00135
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	40956	41354	-	WP_095417032.1	WP_095417032.1		hypothetical protein			CJU94_RS00135	399	132	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	41613	42764	-							CJU94_RS00140	1152		old_locus_tag=CJU94_00140
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	41613	42764	-	WP_244220887.1	WP_244220887.1		hypothetical protein			CJU94_RS00140	1152	383	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	43577	43888	+							CJU94_RS00145	312		old_locus_tag=CJU94_00145
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	43577	43888	+	WP_095417034.1	WP_095417034.1		hypothetical protein			CJU94_RS00145	312	103	
gene	protein_coding	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	43942	44178	+							CJU94_RS41620	237		old_locus_tag=CJU94_00150
CDS	with_protein	GCF_002278075.1	Primary Assembly	chromosome	1	NZ_CP022989.1	43942	44178	+	WP_095417035.1	WP_095417035.1		hypothetical protein			CJU94_RS41620	237	78	
