# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	3177213	1248	+					dnaA		FAZ97_RS00005	1569		old_locus_tag=FAZ97_00005
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	3177213	1248	+	WP_158756612.1	WP_158756612.1		chromosomal replication initiator protein DnaA	dnaA		FAZ97_RS00005	1569	522	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	1534	2637	+					dnaN		FAZ97_RS00010	1104		old_locus_tag=FAZ97_00010
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	1534	2637	+	WP_028203240.1	WP_028203240.1		DNA polymerase III subunit beta	dnaN		FAZ97_RS00010	1104	367	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	2751	5225	+					gyrB		FAZ97_RS00015	2475		old_locus_tag=FAZ97_00015
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	2751	5225	+	WP_158756613.1	WP_158756613.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FAZ97_RS00015	2475	824	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	5566	6288	+							FAZ97_RS00020	723		old_locus_tag=FAZ97_00020
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	5566	6288	+	WP_233271596.1	WP_233271596.1		sigma-70 family RNA polymerase sigma factor			FAZ97_RS00020	723	240	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	6285	6848	+							FAZ97_RS00025	564		old_locus_tag=FAZ97_00025
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	6285	6848	+	WP_158756615.1	WP_158756615.1		hypothetical protein			FAZ97_RS00025	564	187	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	6849	10223	+							FAZ97_RS00030	3375		old_locus_tag=FAZ97_00030
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	6849	10223	+	WP_158756616.1	WP_158756616.1		UvrD-helicase domain-containing protein			FAZ97_RS00030	3375	1124	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	10310	11065	+							FAZ97_RS00035	756		old_locus_tag=FAZ97_00035
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	10310	11065	+	WP_158756617.1	WP_158756617.1		multiubiquitin domain-containing protein			FAZ97_RS00035	756	251	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	11040	12221	+							FAZ97_RS00040	1182		old_locus_tag=FAZ97_00040
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	11040	12221	+	WP_158756618.1	WP_158756618.1		ThiF family adenylyltransferase			FAZ97_RS00040	1182	393	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	12218	12682	+							FAZ97_RS00045	465		old_locus_tag=FAZ97_00045
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	12218	12682	+	WP_199272062.1	WP_199272062.1		hypothetical protein			FAZ97_RS00045	465	154	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	12857	13933	+							FAZ97_RS00050	1077		old_locus_tag=FAZ97_00050
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	12857	13933	+	WP_158756619.1	WP_158756619.1		hypothetical protein			FAZ97_RS00050	1077	358	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	14387	15640	-							FAZ97_RS00055	1254		old_locus_tag=FAZ97_00055
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	14387	15640	-	WP_199272063.1	WP_199272063.1		S8 family peptidase			FAZ97_RS00055	1254	417	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	15828	16127	+							FAZ97_RS00060	300		old_locus_tag=FAZ97_00060
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	15828	16127	+	WP_158756621.1	WP_158756621.1		HigA family addiction module antitoxin			FAZ97_RS00060	300	99	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	16233	17021	+							FAZ97_RS00065	789		old_locus_tag=FAZ97_00065
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	16233	17021	+	WP_158756622.1	WP_158756622.1		hypothetical protein			FAZ97_RS00065	789	262	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	17794	18273	-							FAZ97_RS00070	480		old_locus_tag=FAZ97_00070
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	17794	18273	-	WP_158756623.1	WP_158756623.1		GyrI-like domain-containing protein			FAZ97_RS00070	480	159	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	18377	18757	-							FAZ97_RS00075	381		old_locus_tag=FAZ97_00075
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	18377	18757	-	WP_158756624.1	WP_158756624.1		DUF779 domain-containing protein			FAZ97_RS00075	381	126	
